day,wake_time_min,sleep_start_min,screen_after_wake_min,prep_min,commute_min,arrival_time_min,late
Thu,543,85,0.0,28.2,19.9,573.5,1
Wed,270,1231,28.0,35.8,15.1,331.4,0
Wed,375,64,11.9,18.7,34.6,441.5,0
Tue,387,3,4.9,31.3,30.1,438.5,0
Fri,373,56,10.1,16.0,0.0,398.9,0
Fri,399,19,35.8,21.3,39.7,463.6,0
Fri,405,58,5.3,32.3,65.8,498.2,1
Wed,509,68,3.8,11.5,42.6,583.1,1
Fri,344,94,2.1,40.2,5.3,393.7,0
Mon,297,70,10.8,31.8,14.3,340.1,0
Thu,517,45,7.5,20.6,74.2,608.8,1
Thu,379,1439,11.3,29.7,0.0,409.8,0
Mon,270,1237,20.0,26.3,49.5,366.2,0
Tue,300,1279,92.6,30.5,4.4,392.1,0
Tue,570,170,0.0,21.5,31.6,617.4,1
Mon,302,77,14.8,30.8,28.0,365.4,0
Thu,413,24,19.9,34.0,30.1,481.1,0
Tue,570,156,6.2,17.6,22.4,610.5,1
Fri,335,1265,33.5,29.9,33.4,411.0,0
Mon,557,170,6.6,16.6,2.5,568.9,1
Thu,452,1389,2.2,28.3,32.6,526.3,1
Wed,365,1295,0.0,32.8,25.5,435.2,0
Thu,567,93,0.0,24.6,31.2,606.5,1
Wed,270,1330,8.3,26.2,35.7,337.0,0
Mon,456,161,0.6,20.9,60.3,540.4,1
Mon,570,80,5.6,7.2,0.0,578.4,1
Fri,270,1258,41.5,25.6,16.1,337.3,0
Tue,570,145,2.2,12.6,6.5,577.1,1
Thu,270,1311,4.3,24.9,36.2,337.1,0
Tue,437,122,0.0,25.2,6.2,470.6,0
Wed,321,1439,4.1,40.1,9.9,382.4,0
Tue,362,20,31.5,14.5,0.0,403.2,0
Tue,385,18,40.2,27.0,45.3,470.8,1
Mon,570,104,6.2,7.9,14.2,596.1,1
Fri,427,123,2.7,28.9,77.1,531.5,1
Mon,564,77,6.8,16.2,42.8,637.2,1
Thu,525,10,10.5,19.7,0.0,552.8,1
Fri,354,42,7.6,28.3,15.6,389.0,0
Mon,509,86,4.5,21.7,49.0,585.3,1
Wed,270,1305,2.4,37.6,8.3,332.1,0
Mon,270,1279,35.0,33.8,22.0,360.0,0
Wed,570,137,4.7,10.6,19.6,603.3,1
Mon,570,1419,2.3,6.0,46.5,630.0,1
Mon,570,89,0.0,6.0,14.0,584.8,1
Thu,524,86,0.0,22.5,12.5,546.2,1
Thu,352,1316,8.7,23.7,48.8,424.8,0
Fri,405,1383,24.2,38.0,64.1,520.4,1
Wed,521,28,1.3,20.9,35.9,582.1,1
Thu,430,81,0.0,39.4,31.2,502.7,1
Wed,282,1330,29.2,34.7,39.0,372.8,0
Fri,449,142,10.1,16.4,36.8,515.9,1
Mon,551,86,0.0,9.4,27.7,590.7,1
Tue,270,1296,2.8,23.8,16.5,327.6,0
Wed,473,137,7.1,27.2,12.5,526.8,1
Mon,417,1335,5.3,15.6,26.6,459.6,0
Tue,270,1388,7.6,54.0,25.8,360.5,0
Fri,341,19,4.9,36.6,17.4,395.3,0
Mon,308,73,0.0,31.2,35.1,382.7,0
Tue,503,58,0.0,21.9,0.0,528.9,1
Fri,285,46,2.0,37.4,40.0,358.3,0
Thu,270,1296,4.7,37.8,0.0,322.1,0
Mon,388,80,28.7,25.2,47.9,485.2,0
Thu,455,151,10.9,37.7,12.3,511.6,1
Thu,432,1406,4.8,32.5,17.7,495.1,0
Mon,479,127,2.2,28.3,9.0,504.1,1
Mon,270,1253,4.7,22.9,54.4,354.1,0
Thu,270,1390,17.1,38.3,34.7,349.6,0
Fri,570,86,2.9,25.8,71.5,669.4,1
Thu,494,26,1.1,28.7,21.4,551.0,1
Fri,270,1290,1.4,43.9,89.5,409.3,0
Wed,270,1270,2.6,44.6,12.7,333.9,0
Mon,270,1295,96.0,25.2,6.6,347.4,0
Mon,570,134,0.0,21.2,1.3,599.0,1
Fri,275,1356,17.4,37.6,21.6,332.2,0
Wed,401,1439,17.3,25.0,5.2,446.9,0
Wed,431,1429,3.4,27.8,27.0,507.2,1
Tue,427,34,4.6,24.1,41.8,498.3,0
Mon,298,7,31.6,32.5,29.6,380.9,0
Fri,355,54,0.0,21.7,7.2,374.9,0
Fri,313,94,0.0,51.5,4.9,358.2,0
Mon,270,1217,0.0,41.7,18.8,333.4,0
Mon,341,1265,4.3,31.7,34.0,407.7,0
Mon,270,1283,23.5,24.5,3.5,313.4,0
Wed,356,1318,21.3,19.4,0.0,405.0,0
Wed,286,1360,35.7,29.1,12.1,337.6,0
Tue,292,77,4.5,36.5,12.5,357.1,0
Tue,404,68,4.1,32.4,65.0,501.2,1
Tue,270,1291,0.6,35.6,4.5,314.3,0
Fri,371,133,0.0,19.9,37.7,433.0,0
Wed,563,12,6.6,6.0,35.3,593.4,1
Mon,490,1375,1.8,21.8,11.4,531.3,1
Thu,400,106,5.8,23.2,32.1,464.2,0
Wed,570,95,2.8,27.0,69.2,672.0,1
Mon,570,74,1.2,6.0,16.6,604.1,1
Thu,368,1339,9.7,25.7,39.0,424.0,0
Mon,415,121,0.0,40.2,1.8,460.1,0
Tue,270,1365,4.0,25.4,6.7,313.2,0
Tue,399,1437,109.5,17.7,28.4,504.5,1
Fri,415,92,10.8,38.8,9.8,477.0,0
Mon,495,110,6.9,15.1,33.0,551.7,1
Fri,317,1344,4.4,43.7,20.8,376.4,0
Mon,442,46,25.9,24.6,13.1,492.2,1
Mon,359,1356,0.0,20.9,18.5,399.3,0
Thu,388,98,1.6,14.3,18.5,440.8,0
Thu,362,1292,0.0,31.5,22.6,407.3,0
Tue,486,1350,3.9,33.9,3.7,541.0,1
Wed,270,1240,11.6,17.3,6.7,293.0,0
Mon,508,124,2.5,23.3,29.3,556.7,1
Thu,570,136,6.0,21.8,6.1,608.8,1
Mon,470,87,4.0,36.8,12.9,533.1,1
Mon,536,1426,2.6,16.5,5.2,552.6,1
Thu,290,7,2.4,30.0,15.5,342.4,0
Fri,303,1385,11.7,33.1,12.6,349.1,0
Thu,292,1360,16.6,43.8,66.9,395.1,0
Thu,503,109,3.7,10.9,34.2,549.0,1
Wed,570,97,8.1,12.4,17.9,605.1,1
Wed,508,135,0.0,19.7,28.4,538.7,1
Mon,570,60,4.4,16.2,10.4,610.7,1
Thu,270,1321,6.2,19.3,19.8,307.1,0
Wed,395,46,3.5,25.5,71.9,491.9,1
Wed,433,38,100.0,18.9,10.8,523.7,1
Fri,304,1396,3.5,30.9,30.5,363.2,0
Thu,345,33,14.6,31.1,8.6,379.3,0
Mon,382,88,2.1,8.6,18.9,408.5,0
Tue,464,29,1.9,31.4,25.7,534.9,1
Fri,570,69,6.7,6.0,6.6,581.7,1
Mon,355,71,17.1,24.6,0.0,392.4,0
Wed,270,1167,29.2,39.5,18.9,353.4,0
Thu,374,1311,0.0,15.1,14.2,407.2,0
Mon,270,1239,2.1,48.9,19.7,341.5,0
Wed,270,1206,11.9,16.0,12.3,298.3,0
Thu,482,8,3.4,29.4,6.6,517.9,1
Wed,570,46,0.0,32.3,34.7,629.3,1
Tue,387,41,44.9,26.1,7.2,438.1,0
Thu,378,1388,105.1,30.1,53.1,522.9,1
Wed,344,99,11.7,34.5,48.2,437.7,0
Wed,504,145,6.2,26.0,7.6,545.7,1
Fri,456,1358,1.6,22.8,10.8,493.5,0
Mon,393,1421,12.3,34.0,9.9,441.8,0
Wed,270,1259,1.1,34.4,40.1,336.5,0
Thu,531,69,6.5,7.6,33.4,575.6,1
Tue,478,1355,0.0,20.7,1.8,512.6,1
Wed,270,1321,4.8,35.3,21.1,333.8,0
Fri,270,1257,27.1,33.0,45.1,367.4,0
Tue,339,1373,1.1,39.2,5.1,373.6,0
Thu,355,21,3.7,30.7,51.2,430.4,0
Fri,340,13,6.1,24.1,25.0,397.7,0
Fri,407,127,33.9,26.5,27.4,477.4,0
Wed,403,21,6.6,27.2,66.5,486.5,1
Fri,439,68,5.0,26.2,10.7,479.8,0
Tue,344,1370,7.9,41.2,4.2,412.4,0
Tue,561,118,2.5,24.1,19.9,602.9,1
Wed,388,83,0.0,34.9,58.4,474.4,0
Wed,270,1439,21.3,28.3,59.3,382.9,0
Thu,270,1265,28.5,41.2,5.4,327.3,0
Wed,482,1438,2.3,18.8,29.9,533.0,1
Wed,540,115,6.9,19.1,29.0,588.9,1
Wed,437,1310,0.0,43.5,1.5,481.0,1
Thu,270,1343,8.4,21.7,3.6,305.1,0
Thu,434,33,0.0,12.4,44.7,496.0,1
Thu,570,125,5.5,8.6,3.3,591.2,1
Thu,288,1263,19.9,32.3,44.1,375.9,0
Mon,270,7,4.9,42.2,30.8,343.5,0
Thu,469,68,0.5,7.0,16.4,494.8,1
Thu,387,34,25.1,24.4,44.1,465.1,0
Wed,545,90,0.5,22.7,11.8,581.1,1
Tue,270,1343,11.8,54.9,1.1,321.4,0
Thu,367,21,9.9,47.5,41.2,463.1,0
Wed,346,1288,0.5,38.9,20.3,418.8,0
Wed,418,26,2.2,26.5,34.2,482.1,0
Mon,570,106,2.6,13.2,86.5,661.4,1
Mon,270,1415,37.8,24.9,12.3,342.6,0
Fri,570,160,4.6,25.0,38.5,642.8,1
Thu,270,1288,5.0,34.0,78.8,383.3,0
Wed,419,48,2.5,31.3,25.5,474.0,0
Thu,270,1220,6.2,25.2,44.8,344.0,0
Tue,570,137,5.2,15.2,5.9,600.1,1
Wed,401,152,0.0,25.1,14.1,446.0,0
Mon,270,1357,9.4,26.7,16.5,324.8,0
Wed,345,1295,29.2,18.4,25.5,411.3,0
Mon,303,1229,12.0,38.4,0.0,338.5,0
Mon,451,64,34.9,40.3,22.5,527.0,1
Fri,335,1425,6.0,18.5,14.8,380.4,0
Fri,380,154,42.2,29.2,17.2,446.5,0
Wed,470,135,0.1,32.1,15.5,520.6,1
Thu,317,1270,6.5,35.8,0.0,359.5,0
Tue,399,127,5.5,19.0,34.3,456.3,0
Thu,483,118,8.8,31.7,22.2,552.7,1
Fri,284,1431,3.4,20.3,23.3,328.9,0
Mon,280,1400,7.8,25.2,38.8,351.3,0
Wed,404,161,16.4,20.8,65.9,494.7,1
Wed,458,54,9.2,28.9,87.0,589.1,1
Fri,270,1313,3.4,25.4,73.4,373.0,0
Wed,410,1421,0.0,7.8,67.4,487.4,1
Wed,397,1423,7.5,17.2,14.7,433.5,0
Fri,480,106,9.5,25.6,23.4,520.5,1
Wed,445,8,10.3,38.1,2.6,483.7,0
Mon,537,85,0.0,22.2,25.7,579.0,1
Fri,570,124,4.4,21.7,84.6,677.3,1
Tue,570,82,0.0,17.8,80.3,659.8,1
Wed,311,5,0.0,21.1,0.0,316.9,0
Thu,305,32,0.9,42.6,34.3,379.6,0
Tue,412,110,0.0,20.0,11.9,437.6,0
Tue,270,1362,37.2,31.0,12.2,328.2,0
Tue,362,1391,6.4,22.5,2.0,390.9,0
Thu,439,144,29.6,28.4,34.9,520.6,1
Mon,405,95,0.5,35.7,16.4,447.4,0
Tue,328,1301,0.0,13.7,8.8,348.3,0
Mon,327,13,9.0,27.8,63.5,429.2,0
Fri,349,22,32.4,31.9,22.9,409.8,0
Thu,292,1270,3.6,27.5,13.2,324.5,0
Fri,398,73,28.3,24.5,17.8,450.5,0
Thu,348,1236,4.3,16.5,36.4,395.8,0
Mon,270,1219,47.8,38.9,18.3,353.4,0
Tue,484,89,1.7,16.4,5.4,501.0,0
Tue,388,1338,2.4,23.9,0.0,411.0,0
Thu,270,1226,1.0,37.3,21.0,329.9,0
Fri,326,1404,12.2,31.4,10.5,375.9,0
Fri,533,122,8.2,6.0,13.8,557.1,1
Mon,379,1416,37.3,26.8,11.5,436.3,0
Thu,409,104,11.8,32.6,4.2,471.8,0
Tue,416,93,47.3,27.2,37.6,506.0,0
Fri,270,1220,32.3,32.2,1.8,314.7,0
Mon,570,42,1.2,16.9,58.4,647.2,1
Mon,397,72,7.4,34.9,10.4,466.3,1
Fri,502,108,7.9,17.3,72.5,602.6,1
Wed,528,60,4.8,25.6,92.3,658.1,1
Tue,430,34,7.9,20.5,28.8,488.3,0
Tue,483,96,3.8,12.2,27.6,533.8,1
Mon,276,63,47.3,25.3,60.0,394.0,0
Tue,542,85,5.8,9.9,0.9,555.3,1
Mon,525,1431,5.2,23.6,32.2,580.9,1
Tue,270,1225,19.3,35.9,27.5,338.3,0
Mon,541,116,4.5,20.1,15.8,568.5,1
Mon,570,134,4.3,6.0,66.8,653.9,1
Mon,270,1195,11.6,20.2,1.6,302.7,0
Wed,550,137,0.0,24.4,17.3,576.3,1
Wed,478,154,0.9,6.0,45.4,527.1,1
Thu,291,1278,9.8,29.6,35.1,367.8,0
Thu,409,143,10.5,14.9,17.4,438.5,0
Wed,486,1391,10.0,22.1,7.5,523.8,1
Mon,376,19,20.7,23.2,9.4,427.3,0
Mon,336,1326,7.5,36.5,0.0,393.5,0
Fri,566,143,4.3,16.6,12.6,591.6,1
Wed,270,1367,9.6,29.3,17.0,306.9,0
Thu,309,1221,29.6,27.1,81.3,444.4,1
Thu,317,1435,3.8,29.5,25.9,378.9,0
Tue,323,68,0.0,21.7,55.3,416.1,0
Thu,481,1426,8.3,14.6,7.7,504.6,1
Mon,270,1228,2.4,34.0,4.8,310.9,0
Mon,452,1437,14.3,20.7,3.6,491.5,1
Wed,359,51,111.2,26.0,4.2,468.8,0
Mon,270,1212,6.6,50.9,56.6,385.4,0
Mon,270,1269,7.1,46.1,75.5,399.0,0
Tue,536,46,0.0,10.9,11.8,556.9,1
Fri,439,48,12.2,39.5,14.7,485.5,1
Wed,517,55,1.1,21.7,47.8,593.5,1
Mon,270,1246,0.0,32.8,35.6,358.2,0
Fri,470,111,1.9,6.0,25.5,502.5,0
Mon,471,1435,0.0,20.2,27.6,515.3,1
Mon,270,1206,12.9,31.2,37.0,349.5,0
Fri,270,1303,2.4,32.7,84.3,397.2,0
Thu,270,1247,6.9,29.3,25.7,306.9,0
Fri,460,183,0.7,36.9,24.3,526.1,1
Wed,418,22,12.0,29.5,7.1,459.8,0
Thu,570,100,0.0,6.0,39.5,622.7,1
Tue,270,1249,24.3,29.2,73.5,386.0,0
Mon,305,46,11.3,33.0,32.1,361.8,0
Fri,482,1392,0.0,8.5,7.0,502.0,1
Thu,291,10,5.3,29.9,79.0,398.5,0
Wed,384,1351,9.3,6.2,70.6,477.7,0
Tue,270,1268,12.8,37.0,38.1,348.8,0
Mon,396,158,38.0,31.9,6.5,460.5,0
Fri,570,101,7.1,6.0,9.0,585.3,1
Fri,270,1215,1.9,24.4,26.2,338.6,0
Fri,426,119,2.1,30.6,8.5,466.2,0
Fri,270,1218,16.4,39.9,58.7,387.9,0
Thu,317,19,14.2,34.0,7.9,378.3,0
Thu,514,1389,0.0,19.5,22.0,551.1,1
Wed,467,1418,0.0,24.7,12.1,501.5,1
Tue,453,156,1.6,23.7,8.2,493.0,1
Thu,270,1242,63.6,35.1,31.1,367.2,0
Wed,270,1344,26.2,27.6,86.1,397.1,0
Fri,369,55,5.3,29.1,76.0,477.1,1
Fri,570,68,11.3,13.9,39.7,635.4,1
Thu,451,1439,6.5,30.8,15.2,497.7,1
Mon,542,15,3.8,6.0,62.7,604.4,1
Fri,352,122,12.6,28.7,7.7,393.3,0
Wed,421,35,14.1,26.4,15.9,476.0,0
Wed,441,16,1.2,19.6,37.2,505.6,1
Tue,351,83,28.6,25.9,11.2,406.1,0
Thu,279,20,29.2,34.6,57.9,394.4,0
Fri,278,47,6.6,53.3,41.9,377.6,0
Tue,448,73,5.6,26.8,7.0,468.2,0
Wed,270,1260,37.3,42.4,34.1,360.1,0
Thu,570,118,2.1,12.0,17.4,596.7,1
Mon,570,3,2.8,12.6,0.0,576.9,1
Wed,362,133,29.7,29.3,15.6,432.4,0
Thu,270,19,39.0,34.5,16.9,350.9,0
Mon,270,1363,2.3,31.5,19.7,323.1,0
Wed,454,128,25.5,17.7,43.8,538.3,1
Wed,570,51,3.5,6.0,36.3,612.5,1
Tue,400,75,0.7,37.3,12.6,455.1,0
Fri,270,1204,0.0,23.5,2.8,292.5,0
Thu,401,54,36.3,34.6,5.0,464.9,0
Fri,351,1435,31.9,33.7,18.7,409.5,0
Fri,299,22,0.0,30.1,41.6,360.2,0
Wed,270,1230,0.2,34.5,35.6,339.4,0
Tue,270,4,3.6,30.3,6.4,315.0,0
Mon,464,1333,3.5,19.0,13.3,498.5,1
Wed,496,58,0.7,21.5,21.0,523.0,1
Wed,378,33,5.0,30.2,51.6,457.6,0
Mon,353,111,7.4,40.9,18.0,424.0,0
Tue,570,117,3.4,30.6,22.0,632.8,1
Fri,270,1395,6.6,36.2,26.6,331.3,0
Tue,270,1309,16.1,24.9,24.1,332.9,0
Mon,570,75,2.5,6.6,15.2,592.0,1
Thu,402,66,58.4,30.8,46.4,494.6,1
Thu,270,1306,3.1,43.0,73.0,395.0,0
Thu,339,37,7.3,27.2,72.7,446.3,0
Wed,570,115,5.6,10.1,5.3,582.2,1
Tue,270,1216,23.5,35.7,12.8,328.8,0
Mon,474,1342,9.1,20.2,15.8,496.8,1
Thu,270,1288,48.9,38.8,44.9,380.1,0
Thu,346,1433,10.0,34.2,19.4,411.1,0
Mon,463,106,3.6,10.8,23.2,510.7,1
Mon,427,36,1.1,32.6,26.1,490.9,1
Thu,560,132,1.4,17.6,38.1,633.9,1
Fri,306,98,5.8,31.5,80.3,434.3,0
Mon,275,1277,12.5,29.0,4.5,315.4,0
Wed,377,125,26.8,22.1,77.7,490.1,0
Mon,485,63,9.1,6.0,47.6,547.8,1
Fri,441,83,18.8,18.0,3.2,492.3,0
Wed,479,55,0.0,24.0,19.0,510.8,1
Mon,270,1214,6.0,32.5,12.5,320.4,0
Tue,270,140,3.4,55.5,31.5,354.2,0
Wed,366,1295,38.0,18.3,47.0,464.4,0
Wed,570,120,0.0,25.1,30.7,630.3,1
Wed,440,58,95.5,19.5,9.9,510.7,1
Fri,278,1382,9.2,38.2,20.1,345.0,0
Fri,311,36,2.4,14.7,18.3,357.0,0
Mon,270,1234,37.1,42.8,12.5,353.4,0
Tue,483,41,10.1,12.5,45.6,559.3,1
Tue,491,1429,4.2,17.4,5.6,522.3,1
Fri,324,84,5.8,23.9,38.7,387.3,0
Thu,498,151,0.2,32.8,9.8,542.3,1
Tue,431,1421,1.1,32.2,3.5,481.7,1
Wed,433,53,18.5,31.9,37.5,507.8,1
Fri,403,1309,9.1,21.3,40.3,477.7,0
Tue,270,1228,12.6,37.5,51.9,365.6,0
Fri,483,40,3.9,9.2,25.5,525.6,1
Wed,270,1403,3.9,29.1,34.8,344.7,0
Wed,570,113,5.9,7.2,8.6,597.6,1
Mon,319,10,12.8,41.6,31.8,406.2,0
Tue,369,76,4.5,19.8,18.1,407.0,0
Fri,400,92,23.4,24.7,1.1,436.7,0
Wed,542,118,4.9,20.7,58.5,624.8,1
Thu,539,2,4.2,12.6,13.6,574.9,1
Mon,270,1258,0.1,39.6,2.1,306.3,0
Thu,463,119,1.1,34.6,58.5,551.0,1
Thu,322,1289,0.0,30.0,7.6,355.8,0
Tue,364,1412,23.5,44.3,18.1,456.0,0
Mon,489,10,8.7,22.3,1.9,522.4,1
Fri,365,51,6.3,39.5,6.2,416.4,0
Thu,327,10,0.0,36.1,25.9,393.5,0
Fri,270,1308,0.0,34.5,6.5,327.0,0
Tue,324,115,4.9,30.9,52.5,415.5,0
Mon,395,43,24.3,24.1,9.4,440.1,0
Mon,270,1268,10.6,38.9,2.3,312.1,0
Wed,336,1234,6.5,36.2,15.5,383.2,0
Tue,446,35,5.2,17.2,2.3,463.8,0
Fri,570,138,4.4,22.5,1.6,605.8,1
Fri,570,143,12.2,27.2,19.7,613.2,1
Wed,270,1295,34.3,35.8,21.9,346.8,0
Thu,325,44,0.0,37.2,16.5,379.3,0
Tue,276,31,32.9,33.3,31.2,364.8,0
Mon,270,1216,16.3,35.7,1.5,313.3,0
Tue,550,154,0.9,18.9,9.4,570.5,1
Wed,382,106,0.0,24.7,10.8,422.2,0
Mon,374,128,22.7,29.6,11.2,430.0,0
Fri,324,90,23.1,42.8,16.4,407.3,0
Fri,361,1373,3.2,11.8,35.2,429.2,0
Tue,528,1378,3.7,15.9,41.7,589.0,1
Fri,270,1189,0.0,30.6,39.7,342.1,0
Fri,407,96,4.2,32.2,0.0,463.3,0
Mon,537,112,2.7,10.4,69.3,623.7,1
Thu,386,76,22.4,34.6,3.0,435.1,0
Tue,270,1432,7.1,44.9,31.9,360.1,0
Tue,270,1245,0.0,53.4,0.0,324.9,0
Mon,448,146,25.9,26.9,6.0,496.0,1
Tue,493,43,2.1,13.7,2.0,502.2,1
Fri,476,116,1.8,26.1,0.0,514.3,1
Wed,422,83,19.7,32.7,47.6,516.2,1
Tue,425,1390,48.1,30.6,44.2,515.5,1
Tue,270,1266,2.7,40.3,66.6,374.5,0
Fri,476,71,5.0,27.0,20.0,525.8,1
Wed,476,47,5.0,28.3,20.8,527.0,1
Thu,468,132,1.1,16.9,25.6,502.4,1
Thu,359,1333,36.5,26.6,6.3,419.6,0
Wed,485,65,3.8,37.7,20.3,539.4,1
Wed,434,1355,36.1,19.3,40.3,503.2,1
Wed,472,15,8.3,14.4,20.1,501.5,1
Wed,544,109,2.9,8.9,11.8,570.6,1
Tue,570,103,7.9,12.2,1.1,590.1,1
Tue,386,94,41.1,35.0,8.2,457.8,0
Mon,373,1414,6.0,36.4,10.0,439.2,0
Mon,348,67,34.4,27.0,2.5,388.0,0
Fri,467,1388,5.6,23.2,16.4,510.3,1
Wed,278,1275,0.0,25.1,14.5,313.7,0
Mon,270,1300,29.6,32.2,32.4,365.5,0
Wed,437,1301,35.9,25.5,29.8,509.1,1
Tue,297,51,29.8,36.9,12.7,378.5,0
Wed,490,1352,0.0,16.1,39.8,549.7,1
Fri,408,33,6.9,21.9,10.2,434.5,0
Fri,525,1438,3.0,26.2,25.4,561.8,1
Thu,491,101,0.0,23.2,7.2,517.7,1
Mon,270,28,6.0,44.9,15.7,346.3,0
Tue,570,69,3.1,14.4,18.1,605.5,1
Fri,270,1220,23.0,33.6,21.4,336.9,0
Wed,345,1274,43.3,38.8,18.1,421.1,0
Fri,420,5,51.9,21.9,22.8,493.6,0
Tue,570,152,0.0,17.5,9.9,597.2,1
Mon,326,3,6.6,24.3,19.8,370.6,0
Fri,511,1392,5.7,10.5,57.3,590.8,1
Thu,270,1351,23.0,27.1,63.6,384.2,0
Tue,339,30,21.8,32.0,59.5,429.1,0
Thu,570,125,5.7,16.0,14.3,600.4,1
Fri,499,31,6.5,16.6,6.7,518.5,1
Mon,319,1426,0.0,39.0,38.8,398.2,0
Fri,537,123,0.4,32.9,15.7,595.1,1
Tue,478,75,0.1,20.5,21.1,524.9,1
Fri,570,90,5.0,10.0,6.1,592.1,1
Tue,357,63,9.0,31.8,0.0,407.3,0
Wed,560,53,5.7,6.0,12.6,567.9,1
Tue,471,103,8.2,16.2,81.2,579.0,1
Fri,270,1238,15.0,34.5,5.6,317.5,0
Thu,414,1433,43.2,32.3,0.2,474.6,0
Tue,570,37,0.0,6.0,12.0,595.5,1
Mon,270,1351,8.7,25.7,12.1,308.4,0
Wed,415,1428,114.9,21.3,6.2,505.2,1
Tue,458,170,10.6,18.6,4.9,474.0,1
Fri,321,19,38.7,37.0,9.9,389.2,0
Thu,525,156,0.2,16.2,26.9,574.4,1
Mon,270,1342,19.0,39.0,14.1,333.0,0
Wed,434,112,15.2,12.9,15.7,482.9,1
Mon,526,115,2.7,10.9,43.0,595.3,1
Thu,450,14,0.0,26.1,39.3,527.9,1
Thu,270,1194,6.4,26.1,38.9,339.4,0
Mon,283,1326,0.3,32.4,32.4,352.1,0
Fri,270,1280,3.5,30.3,12.7,312.3,0
Wed,521,90,0.0,14.9,42.3,575.4,1
Tue,270,1236,4.7,42.2,47.1,376.3,0
Wed,363,12,35.0,20.4,5.2,410.8,0
Tue,270,1252,79.1,42.3,8.7,353.3,0
Mon,514,99,3.7,15.5,1.6,534.3,1
Wed,270,1250,101.4,32.7,6.5,378.8,0
Wed,282,1420,29.4,30.2,52.9,382.5,0
Fri,399,13,2.4,24.7,38.3,472.1,0
Wed,349,123,7.6,38.2,29.1,425.1,0
Wed,411,1415,4.0,15.8,66.2,493.2,1
Tue,451,102,11.5,19.6,75.1,571.6,1
Wed,375,18,7.0,21.2,14.6,404.3,0
Tue,270,1202,40.3,39.5,16.8,333.0,0
Tue,270,1384,27.4,25.5,47.1,355.7,0
Tue,338,43,0.0,12.7,20.4,377.3,0
Fri,270,1250,7.6,33.6,32.2,345.0,0
Mon,382,102,11.3,28.5,0.0,420.2,0
Thu,282,17,15.8,39.0,74.7,425.0,0
Thu,368,22,4.0,38.7,42.8,445.1,0
Fri,466,107,4.0,18.6,19.1,521.0,1
Fri,362,1307,1.2,30.5,38.6,430.4,0
Thu,407,1383,5.0,23.0,2.6,441.7,0
Fri,270,1269,0.0,40.3,28.6,347.5,0
Thu,270,154,21.8,26.6,8.2,313.9,0
Thu,440,116,116.5,24.1,17.0,553.0,1
Fri,312,1424,12.3,39.2,26.2,393.6,0
Thu,406,128,38.2,35.2,0.0,474.0,0
Wed,570,38,4.9,6.0,63.5,642.0,1
Thu,331,56,0.0,14.4,1.5,362.1,0
Thu,270,1241,13.7,27.8,46.1,345.5,0
Thu,290,1302,26.2,22.0,40.9,366.1,0
Thu,352,113,0.0,29.2,13.7,398.1,0
Wed,270,1225,36.3,29.6,14.1,338.5,0
Thu,365,1297,4.3,37.0,12.0,415.1,0
Fri,365,1232,7.8,37.5,3.8,411.3,0
Tue,570,98,7.4,15.2,16.3,600.2,1
Mon,487,89,0.7,34.6,4.0,525.7,1
Tue,270,1329,20.3,36.6,15.7,331.6,0
Fri,360,110,0.0,11.1,8.7,378.5,0
Mon,270,1249,0.0,35.2,20.3,333.8,0
Tue,270,1224,9.8,38.0,24.2,361.5,0
Thu,485,104,4.8,19.8,25.7,544.6,1
Tue,416,37,5.5,11.5,0.0,429.8,0
Fri,556,25,4.8,11.9,1.6,560.9,1
Tue,373,1332,10.7,30.5,10.5,439.8,0
Mon,550,80,4.3,13.0,43.9,609.2,1
Mon,270,1422,3.7,30.7,21.5,331.4,0
Thu,285,1398,23.9,38.0,47.3,395.6,0
Thu,570,136,0.0,11.3,6.4,585.7,1
Fri,553,74,2.3,19.5,5.7,578.7,1
Mon,270,1242,23.4,26.9,41.8,354.0,0
Wed,403,76,12.1,23.6,2.4,443.9,0
Thu,570,117,4.6,32.3,39.8,630.2,1
Mon,570,130,4.1,36.3,3.7,634.1,1
Tue,449,62,34.3,7.2,16.3,495.1,1
Wed,323,77,0.0,10.9,28.3,366.5,0
Fri,418,59,0.2,31.1,18.9,473.7,1
Fri,397,1438,5.5,27.9,79.7,520.9,1
Tue,359,33,33.7,23.6,14.8,418.1,0
Wed,283,1268,9.5,31.8,31.2,341.4,0
Mon,502,152,6.0,23.3,2.6,532.4,1
Mon,270,5,20.3,33.2,15.7,340.3,0
Thu,418,31,32.7,22.9,16.5,465.1,1
Mon,543,25,7.3,24.8,52.5,634.8,1
Wed,270,1224,40.4,35.3,0.0,326.2,0
Wed,570,155,7.8,10.3,63.9,648.1,1
Wed,537,1438,0.0,13.5,14.5,557.2,1
Mon,270,1282,2.8,23.3,18.2,300.3,0
Wed,402,109,4.6,24.8,37.5,477.9,0
Thu,570,18,0.0,6.0,21.0,600.8,1
Tue,554,132,10.5,6.0,76.8,643.7,1
Tue,396,95,31.2,28.2,41.8,470.4,0
Mon,312,1418,8.8,29.7,44.2,401.3,0
Mon,332,1435,12.3,28.1,48.8,426.4,0
Fri,297,28,5.7,34.6,13.9,363.9,0
Thu,399,85,11.5,22.6,18.1,451.5,0
Mon,473,75,0.0,21.3,12.8,505.0,1
Fri,381,108,2.7,30.0,15.0,423.9,0
